forecast_date,target,target_end_date,location,type,quantile,value
2020-07-26,1 wk ahead inc death,2020-08-01,US,point,,4827
2020-07-26,2 wk ahead inc death,2020-08-08,US,point,,4792
2020-07-26,3 wk ahead inc death,2020-08-15,US,point,,4771
2020-07-26,4 wk ahead inc death,2020-08-22,US,point,,4762
2020-07-26,1 wk ahead cum death,2020-08-01,US,point,,149392
2020-07-26,2 wk ahead cum death,2020-08-08,US,point,,154184
2020-07-26,3 wk ahead cum death,2020-08-15,US,point,,158955
2020-07-26,4 wk ahead cum death,2020-08-22,US,point,,163717
2020-07-26,1 wk ahead inc death,2020-08-01,06,point,,548
2020-07-26,2 wk ahead inc death,2020-08-08,06,point,,558
2020-07-26,3 wk ahead inc death,2020-08-15,06,point,,567
2020-07-26,4 wk ahead inc death,2020-08-22,06,point,,576
2020-07-26,1 wk ahead cum death,2020-08-01,06,point,,8586
2020-07-26,2 wk ahead cum death,2020-08-08,06,point,,9144
2020-07-26,3 wk ahead cum death,2020-08-15,06,point,,9711
2020-07-26,4 wk ahead cum death,2020-08-22,06,point,,10287
2020-08-02,1 wk ahead inc death,2020-08-08,US,point,,5429
2020-08-02,2 wk ahead inc death,2020-08-15,US,point,,5563
2020-08-02,3 wk ahead inc death,2020-08-22,US,point,,5713
2020-08-02,4 wk ahead inc death,2020-08-29,US,point,,5878
2020-08-02,5 wk ahead inc death,2020-09-05,US,point,,6056
2020-08-02,1 wk ahead cum death,2020-08-08,US,point,,156177
2020-08-02,2 wk ahead cum death,2020-08-15,US,point,,161740
2020-08-02,3 wk ahead cum death,2020-08-22,US,point,,167453
2020-08-02,4 wk ahead cum death,2020-08-29,US,point,,173331
2020-08-02,5 wk ahead cum death,2020-09-05,US,point,,179387
2020-08-02,1 wk ahead inc death,2020-08-08,06,point,,614
2020-08-02,2 wk ahead inc death,2020-08-15,06,point,,629
2020-08-02,3 wk ahead inc death,2020-08-22,06,point,,645
2020-08-02,4 wk ahead inc death,2020-08-29,06,point,,661
2020-08-02,5 wk ahead inc death,2020-09-05,06,point,,676
2020-08-02,1 wk ahead cum death,2020-08-08,06,point,,9403
2020-08-02,2 wk ahead cum death,2020-08-15,06,point,,10033
2020-08-02,3 wk ahead cum death,2020-08-22,06,point,,10678
2020-08-02,4 wk ahead cum death,2020-08-29,06,point,,11338
2020-08-02,5 wk ahead cum death,2020-09-05,06,point,,12014
2020-08-09,1 wk ahead inc death,2020-08-15,US,point,,5982
2020-08-09,2 wk ahead inc death,2020-08-22,US,point,,6186
2020-08-09,3 wk ahead inc death,2020-08-29,US,point,,6403
2020-08-09,4 wk ahead inc death,2020-09-05,US,point,,6633
2020-08-09,5 wk ahead inc death,2020-09-12,US,point,,6875
2020-08-09,1 wk ahead cum death,2020-08-15,US,point,,164465
2020-08-09,2 wk ahead cum death,2020-08-22,US,point,,170651
2020-08-09,3 wk ahead cum death,2020-08-29,US,point,,177054
2020-08-09,4 wk ahead cum death,2020-09-05,US,point,,183687
2020-08-09,5 wk ahead cum death,2020-09-12,US,point,,190561
2020-08-09,1 wk ahead inc death,2020-08-15,06,point,,664
2020-08-09,2 wk ahead inc death,2020-08-22,06,point,,682
2020-08-09,3 wk ahead inc death,2020-08-29,06,point,,699
2020-08-09,4 wk ahead inc death,2020-09-05,06,point,,716
2020-08-09,5 wk ahead inc death,2020-09-12,06,point,,733
2020-08-09,1 wk ahead cum death,2020-08-15,06,point,,10289
2020-08-09,2 wk ahead cum death,2020-08-22,06,point,,10970
2020-08-09,3 wk ahead cum death,2020-08-29,06,point,,11669
2020-08-09,4 wk ahead cum death,2020-09-05,06,point,,12385
2020-08-09,5 wk ahead cum death,2020-09-12,06,point,,13119
2020-08-16,1 wk ahead inc death,2020-08-22,US,point,,6552
2020-08-16,2 wk ahead inc death,2020-08-29,US,point,,6799
2020-08-16,3 wk ahead inc death,2020-09-05,US,point,,7059
2020-08-16,4 wk ahead inc death,2020-09-12,US,point,,7330
2020-08-16,5 wk ahead inc death,2020-09-19,US,point,,7615
2020-08-16,1 wk ahead cum death,2020-08-22,US,point,,172552
2020-08-16,2 wk ahead cum death,2020-08-29,US,point,,179351
2020-08-16,3 wk ahead cum death,2020-09-05,US,point,,186409
2020-08-16,4 wk ahead cum death,2020-09-12,US,point,,193740
2020-08-16,5 wk ahead cum death,2020-09-19,US,point,,201355
2020-08-16,1 wk ahead inc death,2020-08-22,06,point,,682
2020-08-16,2 wk ahead inc death,2020-08-29,06,point,,696
2020-08-16,3 wk ahead inc death,2020-09-05,06,point,,710
2020-08-16,4 wk ahead inc death,2020-09-12,06,point,,724
2020-08-16,5 wk ahead inc death,2020-09-19,06,point,,734
2020-08-16,1 wk ahead cum death,2020-08-22,06,point,,11737
2020-08-16,2 wk ahead cum death,2020-08-29,06,point,,12433
2020-08-16,3 wk ahead cum death,2020-09-05,06,point,,13143
2020-08-16,4 wk ahead cum death,2020-09-12,06,point,,13867
2020-08-16,5 wk ahead cum death,2020-09-19,06,point,,14604
