location,target,type,quantile,forecast_date,target_end_date,value
US,1 wk ahead cum death,point,,2020-03-15,2020-03-21,203
US,1 wk ahead inc death,point,,2020-03-15,2020-03-21,39
US,1 wk ahead cum death,point,,2020-03-22,2020-03-28,2736
US,1 wk ahead inc death,point,,2020-03-22,2020-03-28,793
US,1 wk ahead cum death,point,,2020-03-29,2020-04-04,10401
US,1 wk ahead inc death,point,,2020-03-29,2020-04-04,2090
US,1 wk ahead cum death,point,,2020-04-05,2020-04-11,24309
US,1 wk ahead inc death,point,,2020-04-05,2020-04-11,3486
US,1 wk ahead cum death,point,,2020-04-12,2020-04-18,38773
US,1 wk ahead inc death,point,,2020-04-12,2020-04-18,3313
US,1 wk ahead cum death,point,,2020-04-19,2020-04-25,66597
US,1 wk ahead inc death,point,,2020-04-19,2020-04-25,5095
US,1 wk ahead cum death,point,,2020-04-26,2020-05-02,66837
US,1 wk ahead inc death,point,,2020-04-26,2020-05-02,1908
US,1 wk ahead cum death,point,,2020-05-03,2020-05-09,79511
US,1 wk ahead inc death,point,,2020-05-03,2020-05-09,1985
US,1 wk ahead cum death,point,,2020-05-10,2020-05-16,91528
US,1 wk ahead inc death,point,,2020-05-10,2020-05-16,14809
US,1 wk ahead cum death,point,,2020-05-17,2020-05-23,98076
US,1 wk ahead inc death,point,,2020-05-17,2020-05-23,10665
US,1 wk ahead cum death,point,,2020-05-24,2020-05-30,104662
US,1 wk ahead inc death,point,,2020-05-24,2020-05-30,8725
US,1 wk ahead cum death,point,,2020-05-31,2020-06-06,110631
US,1 wk ahead inc death,point,,2020-05-31,2020-06-06,7892
US,1 wk ahead cum death,point,,2020-06-07,2020-06-13,115708
US,1 wk ahead inc death,point,,2020-06-07,2020-06-13,6772
US,1 wk ahead cum death,point,,2020-06-14,2020-06-20,120630
US,1 wk ahead inc death,point,,2020-06-14,2020-06-20,6012
US,1 wk ahead cum death,point,,2020-06-21,2020-06-27,123629
US,1 wk ahead inc death,point,,2020-06-21,2020-06-27,4478
US,1 wk ahead cum death,point,,2020-06-28,2020-07-04,129321
US,1 wk ahead inc death,point,,2020-06-28,2020-07-04,4359
